"Num_dep";"annee";"Effectif"
"01";"2021";"662032"
"01";"2020";"657856"
"01";"2019";"652432"
"01";"2018";"647634"
"01";"2017";"643350"
"01";"2016";"638425"
"02";"2021";"526983"
"02";"2020";"529374"
"02";"2019";"531345"
"02";"2018";"533316"
"02";"2017";"534490"
"02";"2016";"536136"
"03";"2021";"334381"
"03";"2020";"335628"
"03";"2019";"335975"
"03";"2018";"337171"
"03";"2017";"337988"
"03";"2016";"339384"
"04";"2021";"165830"
"04";"2020";"165451"
"04";"2019";"164308"
"04";"2018";"164068"
"04";"2017";"163915"
"04";"2016";"162565"
"05";"2021";"140230"
"05";"2020";"140605"
"05";"2019";"141220"
"05";"2018";"140698"
"05";"2017";"141284"
"05";"2016";"141107"
"06";"2021";"1102251"
"06";"2020";"1097410"
"06";"2019";"1094283"
"06";"2018";"1086219"
"06";"2017";"1083310"
"06";"2016";"1083704"
"07";"2021";"330012"
"07";"2020";"329325"
"07";"2019";"328278"
"07";"2018";"326606"
"07";"2017";"325712"
"07";"2016";"325157"
"08";"2021";"268216"
"08";"2020";"269701"
"08";"2019";"270582"
"08";"2018";"271845"
"08";"2017";"273579"
"08";"2016";"275371"
"09";"2021";"154222"
"09";"2020";"153954"
"09";"2019";"153287"
"09";"2018";"153066"
"09";"2017";"153153"
"09";"2016";"153067"
"10";"2021";"311831"
"10";"2020";"311435"
"10";"2019";"310242"
"10";"2018";"310020"
"10";"2017";"310020"
"10";"2016";"308910"
"11";"2021";"376885"
"11";"2020";"375217"
"11";"2019";"374070"
"11";"2018";"372806"
"11";"2017";"370260"
"11";"2016";"368025"
"12";"2021";"279571"
"12";"2020";"279554"
"12";"2019";"279595"
"12";"2018";"279274"
"12";"2017";"279206"
"12";"2016";"278697"
"13";"2021";"2055002"
"13";"2020";"2048070"
"13";"2019";"2043110"
"13";"2018";"2034357"
"13";"2017";"2024162"
"13";"2016";"2019717"
"14";"2021";"698670"
"14";"2020";"697547"
"14";"2019";"694905"
"14";"2018";"694056"
"14";"2017";"694002"
"14";"2016";"693679"
"15";"2021";"144123"
"15";"2020";"144379"
"15";"2019";"144692"
"15";"2018";"144765"
"15";"2017";"145143"
"15";"2016";"145969"
"16";"2021";"351576"
"16";"2020";"351718"
"16";"2019";"352015"
"16";"2018";"351778"
"16";"2017";"352335"
"16";"2016";"353288"
"17";"2021";"659379"
"17";"2020";"655709"
"17";"2019";"651358"
"17";"2018";"646932"
"17";"2017";"644303"
"17";"2016";"642191"
"18";"2021";"299546"
"18";"2020";"300933"
"18";"2019";"302306"
"18";"2018";"303408"
"18";"2017";"304256"
"18";"2016";"307110"
"19";"2021";"238576"
"19";"2020";"239190"
"19";"2019";"240073"
"19";"2018";"240583"
"19";"2017";"241464"
"19";"2016";"241535"
"2A";"2021";"161872"
"2A";"2020";"160814"
"2A";"2019";"158507"
"2A";"2018";"157853"
"2A";"2017";"157249"
"2A";"2016";"154303"
"2B";"2021";"184485"
"2B";"2020";"182887"
"2B";"2019";"181933"
"2B";"2018";"180701"
"2B";"2017";"177689"
"2B";"2016";"176152"
"21";"2021";"535275"
"21";"2020";"535078"
"21";"2019";"534124"
"21";"2018";"533220"
"21";"2017";"533819"
"21";"2016";"533213"
"22";"2021";"605211"
"22";"2020";"603640"
"22";"2019";"600582"
"22";"2018";"599584"
"22";"2017";"598814"
"22";"2016";"598953"
"23";"2021";"115050"
"23";"2020";"115995"
"23";"2019";"116617"
"23";"2018";"117503"
"23";"2017";"118638"
"23";"2016";"119502"
"24";"2021";"412686"
"24";"2020";"412807"
"24";"2019";"413223"
"24";"2018";"413418"
"24";"2017";"413606"
"24";"2016";"414789"
"25";"2021";"546630"
"25";"2020";"545209"
"25";"2019";"543974"
"25";"2018";"541454"
"25";"2017";"539067"
"25";"2016";"538549"
"26";"2021";"519421"
"26";"2020";"517709"
"26";"2019";"516762"
"26";"2018";"514732"
"26";"2017";"511553"
"26";"2016";"508006"
"27";"2021";"598404"
"27";"2020";"599668"
"27";"2019";"599507"
