"annee";"profession_sante";"Num_dep";"hono_sans_depassement_moyens";"depassements_moyens"
"2012";"Ensemble des médecins généralistes";"80";"162386";"1921"
"2012";"Ensemble des médecins généralistes";"10";"157980";"1998"
"2012";"Ensemble des médecins généralistes";"52";"160606";"3270"
"2012";"Ensemble des médecins généralistes";"55";"163205";"957"
"2012";"Ensemble des médecins généralistes";"17";"129850";"1992"
"2012";"Ensemble des médecins généralistes";"86";"136634";"2361"
"2012";"Ensemble des médecins généralistes";"09";"143364";"1372"
"2012";"Ensemble des médecins généralistes";"11";"144324";"731"
"2012";"Ensemble des médecins généralistes";"31";"126699";"1252"
"2012";"Ensemble des médecins généralistes";"48";"149062";"142"
"2012";"Ensemble des médecins généralistes";"65";"137530";"844"
"2012";"Ensemble des médecins généralistes";"66";"139026";"1818"
"2012";"Ensemble des médecins généralistes";"03";"135242";"1000"
"2012";"Ensemble des médecins généralistes";"15";"147801";"631"
"2012";"Ensemble des médecins généralistes";"63";"131479";"3017"
"2012";"Ensemble des médecins généralistes";"69";"118513";"8648"
"2012";"Ensemble des médecins généralistes";"06";"114672";"7982"
"2012";"Ensemble des médecins généralistes";"84";"127709";"4316"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"971";"281774";"19796"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"78";"182658";"75249"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"91";"220688";"57979"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"95";"241443";"63661"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"28";"295000";"36957"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"36";"253969";"25675"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"41";"255498";"10229"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"25";"241939";"23585"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"71";"256216";"45533"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"27";"268480";"48344"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"51";"314618";"46699"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"54";"255764";"34469"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"68";"253192";"59879"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"72";"322232";"35510"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"56";"264490";"10431"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"17";"246932";"30511"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"19";"269887";"31788"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"79";"282790";"23503"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"87";"260424";"28023"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"11";"236633";"19453"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"12";"190113";"9058"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"30";"252782";"30230"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"31";"230705";"22202"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"65";"268263";"16083"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"66";"285274";"20518"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"81";"248762";"13025"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"07";"232575";"44860"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"42";"237501";"32652"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"43";"227279";"16300"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"83";"229772";"31865"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"2A";"244220";"15061"
"2012";"Ensemble des médecins spécialistes (hors généralistes)";"2B";"260003";"27378"
"2012";"Gynécologues médicaux et obstétriciens";"972";"133695";"21189"
"2012";"Gynécologues médicaux et obstétriciens";"973";"213167";"6559"
"2012";"Gynécologues médicaux et obstétriciens";"78";"121112";"114579"
"2012";"Gynécologues médicaux et obstétriciens";"91";"129438";"72274"
"2012";"Gynécologues médicaux et obstétriciens";"94";"136271";"99207"
"2012";"Gynécologues médicaux et obstétriciens";"18";"167126";"54835"
