"annee";"profession_sante";"Num_dep";"nombre_patients_uniques"
2018;"Ensemble des médecins";"80";"2003"
2018;"Ensemble des médecins";"08";"1719"
2018;"Ensemble des médecins";"54";"1890"
2018;"Ensemble des médecins";"55";"1924"
2018;"Ensemble des médecins";"88";"1834"
2018;"Ensemble des médecins";"29";"1909"
2018;"Ensemble des médecins";"56";"1966"
2018;"Ensemble des médecins";"16";"1945"
2018;"Ensemble des médecins";"19";"1867"
2018;"Ensemble des médecins";"23";"1353"
2018;"Ensemble des médecins";"33";"1823"
2018;"Ensemble des médecins";"79";"2011"
2018;"Ensemble des médecins";"86";"1868"
2018;"Ensemble des médecins";"11";"2062"
2018;"Ensemble des médecins";"66";"2119"
2018;"Ensemble des médecins";"01";"2039"
2018;"Ensemble des médecins";"03";"1881"
2018;"Ensemble des médecins";"38";"1921"
2018;"Ensemble des médecins";"42";"2002"
2018;"Ensemble des médecins";"63";"1985"
2018;"Ensemble des médecins";"69";"1853"
2018;"Ensemble des médecins";"05";"1659"
2018;"Ensemble des médecins";"83";"1907"
2018;"Ensemble des médecins";"84";"1957"
2018;"Ensemble des médecins généralistes";"973";"2668"
2018;"Ensemble des médecins généralistes";"78";"1705"
2018;"Ensemble des médecins généralistes";"94";"1728"
2018;"Ensemble des médecins généralistes";"95";"1983"
2018;"Ensemble des médecins généralistes";"18";"1833"
2018;"Ensemble des médecins généralistes";"28";"1867"
2018;"Ensemble des médecins généralistes";"36";"1639"
2018;"Ensemble des médecins généralistes";"37";"1556"
2018;"Ensemble des médecins généralistes";"45";"1796"
2018;"Ensemble des médecins généralistes";"21";"1473"
2018;"Ensemble des médecins généralistes";"39";"1517"
2018;"Ensemble des médecins généralistes";"89";"1654"
2018;"Ensemble des médecins généralistes";"90";"1606"
2018;"Ensemble des médecins généralistes";"27";"1739"
2018;"Ensemble des médecins généralistes";"76";"1635"
2018;"Ensemble des médecins généralistes";"59";"1442"
2018;"Ensemble des médecins généralistes";"60";"1734"
2018;"Ensemble des médecins généralistes";"80";"1568"
2018;"Ensemble des médecins généralistes";"08";"1491"
2018;"Ensemble des médecins généralistes";"68";"1600"
2018;"Ensemble des médecins généralistes";"49";"1505"
2018;"Ensemble des médecins généralistes";"85";"1763"
2018;"Ensemble des médecins généralistes";"56";"1582"
2018;"Ensemble des médecins généralistes";"16";"1498"
2018;"Ensemble des médecins généralistes";"24";"1436"
2018;"Ensemble des médecins généralistes";"33";"1471"
2018;"Ensemble des médecins généralistes";"47";"1676"
2018;"Ensemble des médecins généralistes";"87";"1308"
2018;"Ensemble des médecins généralistes";"09";"1417"
2018;"Ensemble des médecins généralistes";"11";"1592"
2018;"Ensemble des médecins généralistes";"12";"1580"
2018;"Ensemble des médecins généralistes";"30";"1552"
2018;"Ensemble des médecins généralistes";"32";"1466"
2018;"Ensemble des médecins généralistes";"34";"1542"
2018;"Ensemble des médecins généralistes";"81";"1415"
2018;"Ensemble des médecins généralistes";"82";"1644"
2018;"Ensemble des médecins généralistes";"07";"1584"
2018;"Ensemble des médecins généralistes";"38";"1526"
2018;"Ensemble des médecins généralistes";"42";"1582"
2018;"Ensemble des médecins généralistes";"63";"1518"
2018;"Ensemble des médecins généralistes";"69";"1577"
2018;"Ensemble des médecins généralistes";"74";"1631"
2018;"Ensemble des médecins généralistes";"06";"1292"
2018;"Ensemble des médecins généralistes";"13";"1473"
2018;"Ensemble des médecins généralistes";"2A";"1679"
2018;"Ensemble des médecins spécialistes (hors généralistes)";"973";"2259"
2018;"Ensemble des médecins spécialistes (hors généralistes)";"78";"2175"
2018;"Ensemble des médecins spécialistes (hors généralistes)";"91";"2512"
2018;"Ensemble des médecins spécialistes (hors généralistes)";"27";"3038"
2018;"Ensemble des médecins spécialistes (hors généralistes)";"50";"3017"
2018;"Ensemble des médecins spécialistes (hors généralistes)";"76";"2658"
2018;"Ensemble des médecins spécialistes (hors généralistes)";"59";"2711"
2018;"Ensemble des médecins spécialistes (hors généralistes)";"80";"2608"
2018;"Ensemble des médecins spécialistes (hors généralistes)";"10";"2688"
2018;"Ensemble des médecins spécialistes (hors généralistes)";"51";"2740"
2018;"Ensemble des médecins spécialistes (hors généralistes)";"57";"2754"
2018;"Ensemble des médecins spécialistes (hors généralistes)";"44";"2687"
2018;"Ensemble des médecins spécialistes (hors généralistes)";"49";"2577"
2018;"Ensemble des médecins spécialistes (hors généralistes)";"53";"2489"
2018;"Ensemble des médecins spécialistes (hors généralistes)";"29";"2465"
2018;"Ensemble des médecins spécialistes (hors généralistes)";"12";"2259"
2018;"Ensemble des médecins spécialistes (hors généralistes)";"32";"2885"
2018;"Ensemble des médecins spécialistes (hors généralistes)";"15";"2237"
2018;"Ensemble des médecins spécialistes (hors généralistes)";"38";"2397"
2018;"Ensemble des médecins spécialistes (hors généralistes)";"69";"2074"
2018;"Ensemble des médecins spécialistes (hors généralistes)";"73";"2151"
2018;"Ensemble des médecins spécialistes (hors généralistes)";"13";"1886"
2018;"Ensemble des médecins spécialistes (hors généralistes)";"83";"2318"
2018;"Ensemble des médecins spécialistes (hors généralistes)";"84";"2380"
2018;"Gynécologues médicaux et obstétriciens";"77";"1959"
2018;"Gynécologues médicaux et obstétriciens";"78";"1578"
2018;"Gynécologues médicaux et obstétriciens";"92";"1423"
2018;"Gynécologues médicaux et obstétriciens";"93";"1893"
2018;"Gynécologues médicaux et obstétriciens";"18";"1822"
2018;"Gynécologues médicaux et obstétriciens";"28";"1522"
2018;"Gynécologues médicaux et obstétriciens";"36";"1579"
2018;"Gynécologues médicaux et obstétriciens";"41";"2348"
2018;"Gynécologues médicaux et obstétriciens";"70";"1543"
2018;"Gynécologues médicaux et obstétriciens";"71";"1818"
2018;"Gynécologues médicaux et obstétriciens";"14";"2077"
2018;"Gynécologues médicaux et obstétriciens";"76";"1933"
2018;"Gynécologues médicaux et obstétriciens";"02";"1304"
2018;"Gynécologues médicaux et obstétriciens";"59";"1744"
2018;"Gynécologues médicaux et obstétriciens";"60";"1805"
2018;"Gynécologues médicaux et obstétriciens";"52";"1816"
2018;"Gynécologues médicaux et obstétriciens";"67";"1629"
2018;"Gynécologues médicaux et obstétriciens";"88";"1761"
2018;"Gynécologues médicaux et obstétriciens";"85";"1934"
2018;"Gynécologues médicaux et obstétriciens";"29";"1836"
2018;"Gynécologues médicaux et obstétriciens";"16";"1848"
2018;"Gynécologues médicaux et obstétriciens";"40";"1632"
2018;"Gynécologues médicaux et obstétriciens";"64";"1816"
2018;"Gynécologues médicaux et obstétriciens";"11";"2059"
2018;"Gynécologues médicaux et obstétriciens";"31";"1755"
2018;"Gynécologues médicaux et obstétriciens";"32";"2384"
